Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Latitude,Longitude
2008-03-25 14:00:00,7.855932199718614,5.25227342804663,2.9444389791664403,5.407171771460119,4.727387818712341,False,False,6.9411900550683745,2.302585092994046,3.2188758248682006,3.4339872044851463,3.1780538303479458,2008,1519833385.0,41.844099629,-87.685404348
2016-10-10 19:30:00,7.518607216815252,4.672828834461906,1.791759469228055,4.5217885770490405,4.477336814478207,False,False,7.837554360881084,3.2188758248682006,3.4011973816621555,2.995732273553991,2.70805020110221,2016,1518277801.0,41.912369245,-87.732519703
2009-01-09 21:44:38,8.630521876723241,3.9512437185814275,0.0,5.3612921657094255,4.23410650459726,False,False,7.792348924113037,3.1780538303479458,3.8918202981106265,0.0,2.0794415416798357,2009,1454567619.0,42.017519306,-87.665519308
2016-05-09 02:30:00,8.372398606513004,3.5553480614894135,0.6931471805599453,4.61512051684126,4.59511985013459,False,True,7.3343293503005365,2.70805020110221,3.332204510175204,3.2188758248682006,2.1972245773362196,2016,1518277801.0,41.885651645,-87.754488753
2011-09-03 22:30:00,7.731492029245684,4.68213122712422,1.791759469228055,5.4638318050256105,3.125920006911468,False,False,6.723832440821209,2.0794415416798357,2.833213344056216,4.189654742026425,2.70805020110221,2011,1518277801.0,41.764741872,-87.679836419
2008-09-06 01:05:00,8.500250470685925,3.5553480614894135,0.6931471805599453,4.61512051684126,4.418840607796598,True,True,7.3914152346753585,2.772588722239781,3.8066624897703196,2.3978952727983707,2.1972245773362196,2008,1519833385.0,41.973724176,-87.779949113
2013-08-03 01:45:00,4.127134385045092,5.075173815233827,2.833213344056216,5.1647859739235145,4.624972813284271,True,False,7.334981878871814,2.70805020110221,3.332204510175204,3.2188758248682006,2.9444389791664403,2013,1518277801.0,41.880801426,-87.752634034
2007-01-12 14:00:00,7.182352111885263,4.700480365792417,2.0794415416798357,5.459585514144159,3.970291913552122,True,False,4.882801922586371,0.0,0.6931471805599453,3.4965075614664802,3.1780538303479458,2007,1519833385.0,41.866843668,-87.625816668
2007-02-21 20:40:00,8.437933510430605,2.0794415416798357,3.091042453358316,3.9318256327243257,4.59511985013459,False,False,7.3277805384216315,2.70805020110221,3.367295829986474,3.2188758248682006,0.6931471805599453,2007,1519833385.0,41.879267913,-87.763697116
2004-09-28 20:45:00,8.176672771948455,5.204006687076795,2.833213344056216,5.375278407684165,4.59511985013459,True,False,7.83399634170946,3.2188758248682006,3.4011973816621555,2.995732273553991,3.1780538303479458,2004,1519833385.0,41.917159628,-87.72709939
2008-11-07 22:48:00,8.646465527120377,5.407171771460119,2.9444389791664403,4.68213122712422,4.709530201312334,True,False,6.415096959171596,1.791759469228055,2.833213344056216,4.2626798770413155,3.1780538303479458,2008,1518277801.0,41.755358678,-87.663560189
2011-07-05 21:40:00,5.003946305945459,3.9512437185814275,0.0,5.3612921657094255,4.59511985013459,False,True,5.4116460518550396,0.6931471805599453,1.0986122886681098,3.6375861597263857,2.0794415416798357,2011,1518277801.0,41.802008996,-87.622030193
2010-06-25 02:15:00,7.688913336864796,4.6913478822291435,1.791759469228055,5.480638923341991,3.125920006911468,False,False,6.919683849847411,2.302585092994046,3.1780538303479458,3.367295829986474,2.70805020110221,2010,1518277801.0,41.853115933,-87.724793789
2003-06-11 11:00:00,3.784189633918261,4.430816798843313,2.1972245773362196,4.343805421853684,4.605170185988092,False,False,7.513709247839705,2.8903717578961645,3.7376696182833684,2.0794415416798357,2.4849066497880004,2003,1519833385.0,41.900771315,-87.626805038
2009-08-17 14:45:00,8.61794309451638,3.295836866004329,0.6931471805599453,5.3612921657094255,3.125920006911468,False,True,5.777652323222656,1.0986122886681098,1.791759469228055,4.23410650459726,2.1972245773362196,2009,1454567619.0,41.763000537,-87.615229357
2006-01-19 22:30:00,7.636752112435779,3.5553480614894135,0.6931471805599453,4.61512051684126,3.125920006911468,True,True,7.266827347520591,2.6390573296152584,3.4657359027997265,3.091042453358316,2.1972245773362196,2006,1519833385.0,41.918049113,-87.684969156
2018-02-08 13:31:00,8.156510226079966,2.302585092994046,3.091042453358316,5.3981627015177525,3.970291913552122,False,False,7.4570320891223805,2.833213344056216,3.4339872044851463,3.044522437723423,0.6931471805599453,2018,1525449064.0,41.939102087,-87.726509353
2006-11-19 00:00:00,8.68084148294457,4.290459441148391,2.772588722239781,4.330733340286331,4.624972813284271,False,False,6.025865973825314,1.3862943611198906,2.0794415416798357,3.828641396489095,1.9459101490553132,2006,1519833385.0,41.748887727,-87.568622759
2006-11-14 21:30:00,8.061802274538348,4.0943445622221,3.2188758248682006,5.117993812416755,4.624972813284271,False,False,6.928537818164665,2.302585092994046,3.1780538303479458,3.367295829986474,1.791759469228055,2006,1518277801.0,41.862898145,-87.711275792
2003-01-19 14:30:00,7.982757702011113,3.295836866004329,0.6931471805599453,5.3612921657094255,4.624972813284271,False,False,7.833203948641057,3.2188758248682006,3.4339872044851463,2.995732273553991,2.1972245773362196,2003,1519833385.0,41.938136244,-87.737008169
2008-03-28 09:00:00,7.641084249174914,4.442651256490317,2.1972245773362196,4.762173934797756,4.418840607796598,False,False,4.897839799950911,0.0,0.6931471805599453,3.4965075614664802,2.3978952727983707,2008,1519833385.0,41.855190551,-87.623871195
2021-05-19 21:00:00,4.59511985013459,4.290459441148391,2.772588722239781,4.330733340286331,4.624972813284271,False,False,6.257667587882639,1.6094379124341003,3.5263605246161616,3.8918202981106265,1.9459101490553132,2021,1622043656.0,41.686214418,-87.624039314
